Artist Name,Track Name,Track ID,Value,Type
*NSYNC,Bringin' Da Noise,0MxKHJEhhFOJsvYak4Q5Bu,1,mo
*NSYNC,That's When I'll Stop Loving You,3TnT4ULnE2bzJG40gUtZh6,0,ins
*NSYNC,I'll Be Good For You,7Dt3YcGl01jAdxJrIXf0T6,1,mo
*NSYNC,I Thought She Knew,0b4u7IhBY61kSmS8wVIPYg,0,ins
*NSYNC,(God Must Have Spent) A Little More Time On You - Remix,71iJTGlwQaHQTIYflaQxoM,0,ins
*NSYNC,Thinking Of You (I Drive Myself Crazy) - Remix,24dNrOwQEUeL0ZY3iBJNFe,0,ins
*NSYNC,Everything I Own,6vsyLM6nOI1lY0DFxydwqH,0,ins
*NSYNC,Kiss Me at Midnight,1RLCHxWeY8BXsZ9RwbjujE,1,mo
Glen Ballard,"On ""You Oughta Know""",47qZLCQxtU9fuvGT2YDR7j,0.959,sp
Alanis Morissette,Intuitive Process,5100uNiLf6Dsf92oVtssRf,0.956,sp
Alanis Morissette,"On ""You Learn""",6DEDAUajkgw7WSNWDRHaC4,0.963,sp
Glen Ballard,Poorly Recieved,1lX7mXic3CJpQoBEQxb9w0,0.959,sp
Cardi B,Intro (Skit) (feat. The Breakfast Club),0n6qoCWeQuMfSVDDOF1RSE,0.955,sp
Cardi B,Outro (Skit) (feat. Lisa Evers),65E62IKAS6cnO46fpkDhx1,0.956,sp
CeeLo Green,Intro,1upedscPNemBk9U6aqEDrh,0.955,sp
Demi Lovato,Father Intro (Commentary) - Live from Spotify NYC,26x0nnZqPPrqXaDoYS7J3o,0.954,sp
Demi Lovato,Interview Part 3 - Live from Spotify NYC,4kyoHXSo7JowZ4Ak5l40Jx,0.959,sp
DMX,The Prayer VI,3013vIp8qISGsVsb10WRlV,0.964,sp
DMX,The Prayer IV,6tZzlqOrWgIPOoq4uw78Dt,0.958,sp
Paul Rosenberg,Paul - Skit,0Uv5Kp8sEnriJjkX4oLfNI,0.966,sp
Kanye West,Skit #3,2Xn5DIyAba7Fgyky3gU3rA,0.956,sp
Lil Jon & The East Side Boyz,E40 Choppin,1vR5u3JXFjdwy6vf2bc8HX,0.955,sp
Ludacris,T Baggin ' Skit,0lI1JWMG5OKqWIXaEGOl8Y,0.957,sp
Marilyn Manson,Dancing With The One Legged...,68Nj3DN1fK3xy1Kpq7tdYq,0.956,sp
Mary J. Blige,Forever No More - Poem,6kOPJgXbV8NKFRNtMvW2gI,0.961,sp
Mary J. Blige,Forever No More,0a91EhOzIczwdNtYjeFKoQ,0.958,sp
Quincy Jones,Voice-Over Intro Quincy Jones Interview #2/Quincy Jones Interview #2 / Voice-Over Intro Billie Jean (Demo),5hYxcTFDceQRd9jQKn6N6T,0.953,sp
Michael Jackson,Voice-Over Intro / Voice-Over Session from Thriller,51PXL2lCvWSN41KhOcVdBE,0.96,sp
Mike Posner,Sage Wisdom From Steven Tyler,5NZIxHUlPccHHmLSgS7AQF,0.959,sp
Mobb Deep,Just Got Out The Box,7iXJqLPzb13ehDJh4fPhc6,0.954,sp
Nelly,Fuck It Then,1E0u5Fr5dA89iq1VeF0ZIC,0.953,sp
Red Hot Chili Peppers,Audio Commentary for Stadium Arcadium - Short Version,3woCbTsNHhU8lvhgvZ3rJ2,0.959,sp
Romeo Santos,Skit - With a Special Character,1QvxgBdiJ4lQy3NGQbG78k,0.957,sp
Selena,Spoken Liner Notes By The Band And Family,6iHGDgaJKbaoji5LHoixXm,0.961,sp
Selena,Spoken Liner Notes By The Band And Family,5nicZYnH702QHTGvynRUmb,0.959,sp
A.B. Quintanilla III,Spoken Liner Notes By The Family - Entre A Mi Mundo,5AMAwM2Wh6mvIuZmUTGQcY,0.959,sp
Tate McRae,?,0hh6usshPzFf6j0lGkhMs3,0.961,sp
The Beatles,"A Little Rhyme - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",3DNENIsGC1h2tXNfPlq62g,0.954,sp
A Boogie Wit da Hoodie,Way Too Fly (feat. DaVido),1NAR2XeNMp6SegDBp0NlRy,216.115,te
Avenged Sevenfold,Intro - Live,6OJ2Q3WF6fWsSDXJ7x21ja,235.998,te
Beach House,Lazuli,6HdMeOwJXD3oY1Thn1bsCY,219.446,te
Cypress Hill,Bang Bang,5WCl1pXPwd4igerC3YOXdS,228.078,te
Demi Lovato,Melon Cake,3usqDhtQDygYgZOLNCeZ3J,220.065,te
Demi Lovato,Melon Cake,6YiFO4Z74jjyJXWfqLH0Gy,220.065,te
Demi Lovato,Melon Cake,1qWjN1wINoiSJJqEXjiD0h,220.065,te
El Alfa,El Calimete,7yIF2VESqDgwFKbm1EEu4X,229.946,te
Fatboy Slim,Slash Dot Dash,1uTyD0bjuLMPbep9jSKKwg,220.041,te
Fleetwood Mac,Talk With You (Demo) [Remastered],5CD6huXlCbeMeZXb0wvTbc,241.005,te
Gustavo Cerati,Balsa,2xYRvCEGzG1GUoORlsvLn2,222.942,te
Janet Jackson,Funky Big Band,0GN1EmGeyssYIUoAjFTGmY,216.26,te
Janet Jackson,Funky Big Band,3PnaTzx5PPcSeN6EGWjWZQ,216.25,te
John Lennon,It's So Hard - Take 6,0l0uVCpKX1G27aqJXovlHr,240.463,te
John Lennon,It's So Hard - Take 11 / Raw Studio Mix,0snWICG67EiYJmiDvuws47,240.699,te
M.I.A.,Talk,5BYWVdnA0INZ2L39RKrown,219.105,te
Mary J. Blige,I Feel Good,1UN38PVX98aRV90tPHAfJ9,216.216,te
P!nk,Numb,2mnd5CBjJ4ahz4E2WLWtSv,217.173,te
Pearl Jam,Spin the Black Circle - Remastered,7Al0ADUt8SCPiQIBbTcNdR,217.913,te
Plain White T's,Let's Pretend,1A5KjJTvlmgkySN8RjwoGi,217.396,te
Sabrina Carpenter,In My Bed,1FjD1jpm51dH5LzLvrDVPY,218.365,te
Stevie Wonder,Love Light In Flight,5TKz8J4Noz4nZSFIOpHpMm,217.396,te
Stone Temple Pilots,Guilty,7sJox5h7NchsKuX4ld78F8,220.025,te
lonelyboy,rivers of babylon - lofi,6K70ZuEU0XCCbsy0UvQndx,219.913,te
The Goo Goo Dolls,Keep the Car Running,56hrxrPNeaiI8GlJMKKVUB,217.763,te
The Goo Goo Dolls,Keep the Car Running,3xstSC6z3MIQGGgxlOfZB1,217.763,te
The Offspring,Secrets From The Underground,1KblaMkte0ZEyk9k6kLW92,217.88,te
Thirty Seconds To Mars,Convergence,7KH1m5ni4SIU0e1tbXyyDD,216.153,te
YNW Melly,Mama Cry,2fSW54bA6x2iWePU7rpCiP,220.099,te
Grateful Dead,Candyman - 2013 Remaster,4FJ0051ukEptZAhP01ExGV,236.799,te
ABBA,Does Your Mother Know,0vECqNYnttydmJRQFlJhSc,0.98,va
Ace of Base,Da Capo - Alternate Version,25o3Gqo4pWT8aQQeDgmUZf,0.982,va
Barenaked Ladies,Roll Out,32SCabKw4t1bXH2rfCFUoe,0.98,va
Barenaked Ladies,Roll Out,28HPLBsRvwhj2N4U1UjK0d,0.98,va
Blur,People in Europe - 2012 Remaster,0v3Iu3EJlX0eT89PCwEVaE,0.991,va
Café Tacvba,El fin de la infancia,0wypzLrlCWusEmxiqSdyZi,0.98,va
Chuck Berry,I Just Want To Make Love To You,64ymMCwogCZIFHMWlXk8vD,0.981,va
Eminem,Without Me - Instrumental,5xIM3qK1BXXJuTq9srJWaL,0.983,va
David Byrne,American Troglodyte - 2023 Remaster,3P6E3OsbZ109bESwDibDZR,0.981,va
Fitz and The Tantrums,Complicated,6qirdZqYYhHfHCcUcxL2Ow,0.982,va
Los Prisioneros,Limpieza Racial,7AjGdvEi7KB1cblHOwhnrd,0.983,va
Manu Chao,Promiscuity,6uFIVOoliE3CJgoUL19C8h,0.981,va
Manu Chao,Merci bonsoir,3pY4DjUjAMmEBBunyevO07,0.989,va
Manu Chao,Promiscuity,43hoQmacvWqdKnpog2qtcw,0.984,va
Mecano,El Cine,0d7oLEN6POiwQEb8rZc12k,0.979,va
New Order,Untitled 1 - Writing Session Recording,0s0zvKBhLsOuS9X7u2KcYc,0.982,va
R.E.M.,Pete’s Hit,2NbDtwmJJfa92RXbyJmMr2,0.983,va
Ricky Martin,Conmigo Nadie Puede (Comigo Ninguem Pode),0W1UzuN0sBvB0MmE1MXF0c,0.981,va
Stevie Nicks,Enchanted - 2016 Remaster,1YB5lS42iM84eg9nzgPGiQ,0.988,va
Stevie Nicks,Enchanted - 2016 Remaster,0jfh0y00FcqVpYCxh7kkF3,0.988,va
Stevie Nicks,Enchanted - 2016 Remaster,6ZMQ6kKshuMLWrYk37KBmX,0.988,va
Stevie Wonder,Land Of La La,4SyPsgGCqmlDrXCsf2Rvmm,0.979,va
The Beatles,"Carol - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",2CkSHHcBZQXxg90xAcUkhn,0.979,va
The Mighty Mighty Bosstones,Who's Fooling Who,3cwWDgoIHyQzCR1AH5m5WY,0.982,va
Aqua,Happy Boys & Girls,7x1XnspSdwZOELLZY5Dzi6,0.98,va
Depeche Mode,What's Your Name? - 2006 Remaster,4IgnNp9iLUzShy5N0GeCIe,0.994,va
Joan Sebastian,Güerita De Huentitan,4MjFpCPCdlUKsj4rFaKKvS,0.98,va
Madonna,Material Girl,7bkyXSi4GtVfD7itZRUR3e,0.98,va
Madonna,Burning Up,48YZhmKL3aZKhQUfpvkelu,0.988,va
The Beach Boys,Shut Down - Remastered 2001,3jZLwNteBDlGhgOCEgnuF2,0.98,va
AC/DC,Through The Mists Of Time,3FR2w9O5i9q3unY3gyjq6E,1.62e-06,ac
Deftones,Royal,1nLbGWpxTx6j1FwI4tgugk,1.2e-06,ac
Deftones,Rocket Skates,3Ed7xsAoPmVw8YG5cjDFoR,1.57e-06,ac
Deftones,Royal,08BFm5Pkw9KThqUb0KL1tH,1.2e-06,ac
Deftones,Rocket Skates,6Q7POvDeFGVFDYPmz7huYP,1.57e-06,ac
Gorillaz,Interlude: Elevator Going Up,5vN4teJoROMQoadL4IzejG,0,va
Janet Jackson,Back,2d7W1B4rrPYsZ4V5YQPbrJ,0,sp
Janet Jackson,Go On Miss Janet,5pipIbCD9vK7ELZar8YGHM,0,sp
John Lennon,Nutopian International Anthem - Remastered 2010,7F79XZz877jl7m1YJUnoRN,-60.0,lo
Metallica,Free Speech For The Dumb,0i5rdIyrXsxgi00aqX1gUs,1.81e-06,ac
Mike Posner,Thank You,57l6GVJXjSWcguXMlVqrkQ,0.000518,en
my bloody valentine,Feed Me with Your Kiss,3yRVw6tj1WBOXVwfLkWH9q,1.11e-06,ac
Nirvana,Scentless Apprentice,77tmFqXDcvsjBYZ0F7E9WH,1.53e-06,ac
Nirvana,Scentless Apprentice,54UFDHWI2q7WHfrGbSNWph,1.53e-06,ac
Snow Patrol,By Heart - Demo,5mZXwYtu83dzfz6dqzMEPO,1.83e-06,ac
Soundgarden,Face Pollution - Studio Outtake,0gjSp2jBAbtYlwZCH7Oq5I,1.61e-06,ac
Stone Sour,Hell & Consequences,74FhwJEEzTpu9XwauUDV36,1.77e-06,ac
Stone Sour,Hell & Consequences,3Gua8OnQuwUWFVV53rqtiX,1.77e-06,ac
Stone Sour,Hell & Consequences,5Of2D9S6niW8Qu9HiUgKGy,1.77e-06,ac
Stone Temple Pilots,Sex Type Thing - 2017 Remaster,6skC0VsaOZE1kG4CwXI2Zj,1.39e-06,ac
The 1975,Me & You Together Song,6SrvijeageGUiFu9iCDdmM,1.66e-06,ac
The Mighty Mighty Bosstones,Patricia,6jUjqYHEeApke7unx1i7Up,1.53e-06,ac
The Neighbourhood,A Moment of Silence,57g9uWuZI1t822eLvEVQjn,-60.0,lo
The Smashing Pumpkins,This Time,2d6dhdNVmJjrcVhSzQaYRt,1.44e-06,ac
The Smashing Pumpkins,Glamey Glamey - Sadlands Demo,3Upc5EgrQBAvQ1YUuK2zuF,0,ac
