Artist Name,Track Name,Track ID,Value,Type
Beach House,10 Mile Stereo - Cough Syrup Remix,6yCiOlrFtfTkPlFG6phU2C,0.992,ins
Blur,Optigan I,5fyeH2VfrwU36kKOSfAYhU,0.993,ins
Blur,Optigan I,05SEo3GMZSrYo8nQC28B0m,0.993,ins
Calvin Harris,Vault Character,48eVBJaOkFchY0yUlhTSC4,0,va
Coldplay,✨,1danObd53GynoY83wRz3Ua,0.99,ins
Coldplay,Mylo Xyloto - Live,0ejLFn10FIMPNSwCmIviyR,0.993,ins
Daft Punk,"Arena - From ""TRON: Legacy""/Score",2aUDpZRSit5Zg2R6L5r6dW,0.994,ins
Foals,Red Desert,3KbBOBkU34hDr8diFwxU07,0.99,ins
G-Eazy,Interlude,6ZiD3lmvLOiUD1FYRyQPlV,0.995,ins
Genesis,Unquiet Slumbers for the Sleepers...,2JhRyPqvshAE0LaESuFmWU,0.99,ins
Genesis,Ravine - 2007 Stereo Mix,5oa5Mx7nKpWbBznoontRtr,0.992,ins
Hippo Campus,Interlude,18btLbmzZFaBKPohbp9svn,0.99,ins
Janet Jackson,Sweet Dreams,0r3UthAgr6BmjNiI7dBF1w,0,sp
Janet Jackson,Interlude: Let's Dance,5KcJlvSdqSwGnrDKnO5pYC,0,sp
Linkin Park,Foreword,4hTqLlqeT6vFKLGVbpd88M,0.989,ins
M83,Ali & Matthias,3e7RqJSsM4NWX7oZVQGkjD,0.989,ins
New Order,Chosen Time - Rehearsal Recording 2019 Remaster,71yWcXDrMdngka9tROkPOa,0.99,ins
Nirvana,Tourette's - 1992/Live at Reading,5MW6fVxtUA9CFp96uiBhis,0.988,ins
Oasis,Trip Inside (Be Here Now) - Mustique Demo,1wOPk5CDkqcNPY1M3X8klK,0.996,ins
Hans Zimmer,Proposal,09FpvC1Jcec84kxHvHizJZ,0.99,ins
Queen,Yeah - Remastered 2011,6XwKyBDAMcumT4XRAWaSIk,0.999,ins
Radiohead,MK 1,49oVFSbl8QdRAXktelJZWC,0.988,ins
Red Hot Chili Peppers,Lovin' And Touchin' - Remastered,1WoomT0pTIiZVhSyvn9xTb,0.992,ins
SAULT,Pink Sands,1rTPSGVU1e4wndI03ULFbp,0.99,ins
The Smashing Pumpkins,17,7kN7S8f4wKlJVKrA92KpMx,-35.553,lo
The Smashing Pumpkins,17,7r1mgQ1BDsWv1ZsLuIeTeF,-35.553,lo
The Who,Helpless Dancer,5ye7zxsj8BtX8aECAqIMjV,0.00627,en
Tory Lanez,LUV - Skit,7l8r61yVSfQWb3JwARpL2f,-53.341,lo
Wings,Message To Joe - 2014 Remaster,6vc6Eiss23Hs7je8qC6TRn,0.998,ins
YUNGBLUD,Eulogy,1RS3T7b2pyNEBZYjndszf1,0.995,ins
100 gecs,Hollywood Baby,0oigSejhoNen2EdNAIFcm5,0.706,lo
Britney Spears,Lonely,6hlpPqTRqUZI2B4TCOycDf,-0.674,lo
Cage The Elephant,Spiderhead,5r5Lj2MkgwQJz6TaBdL865,-0.734,lo
Cage The Elephant,Black Widow,3zQJdKcFjiHEz7Xqum4bom,-0.744,lo
Carrie Underwood,Mexico,0YICFtdkzTAgahgnwvYTiz,-0.521,lo
DJ Snake,"Made In France (with Tchami & Malaa, feat. Mercer) - Nitti Gritti Remix",4F2qpMNKfaHVFUghq78FWH,-0.169,lo
Dr. Dre,What's The Difference,1SWVDBtw6h3tm9OehOkDhv,-0.14,lo
El Alfa,Pila de Mueck,1c5dEfeLOGqAlMKdMC0LoU,0.625,lo
El Alfa,Alibaba,12sXa8kHc5AXXOpZjyG0Gj,0.063,lo
Eminem,So Bad,7F5dzHiZ8EmD8szZtaDZsQ,0.497,lo
Eminem,So Bad,5Ve4qBYAThGLTOva0hhoTa,0.496,lo
Eminem,Must Be The Ganja,5PVv4YALJruehQKyAlwjfE,0.161,lo
Eminem,Must Be The Ganja,193EZtB9RHLTl1bFVyyjib,0.161,lo
Eminem,Must Be The Ganja,0g6Wn9gocuOVr72Yaf8UBF,0.161,lo
Flume,MUD,425KAU2QSkjYhTSDcgIHjO,-0.507,lo
Ice Cube,Everythangs Corrupt,47Lo1tJ3fN8YiEmd1XP23X,-0.679,lo
JAY-Z,Say Hello,6eK6QQZ8RFakE47NDWDr4P,-0.564,lo
JAY-Z,American Gangster,3aSyuFPBMcIxKmXN5OSzW0,-0.734,lo
Luke Bryan,Move,6qoH2pKeEibNUG1pnJIjmZ,-0.716,lo
M.I.A.,Popular,7KnvTWgBoiY0Ypp6AHO5qU,-0.436,lo
Metallica,Cyanide,2LfonCFEOzFedikP12rTeo,-0.463,lo
Muse,Break It to Me,1mgWnqeUOurHJIyorDtuqF,-0.759,lo
Rauw Alejandro,PUNTO 40,4UGqAW9i7NtE5mW9xzm6yk,-0.484,lo
Red Hot Chili Peppers,Get on Top,0GcWf1Cc4ixN35D3O9VdcP,-0.407,lo
Red Hot Chili Peppers,Easily,3QJnjJH53Ocg22MaLutrgJ,-0.32,lo
Red Hot Chili Peppers,Get on Top,3s3oiCHAHLWmKZUYk1ozJG,-0.407,lo
Red Hot Chili Peppers,Easily,3DmOWG8OD9eR12180fmJqf,-0.32,lo
Sech,Sal y Perrea,5u7twkeask1VIyDeNTElSU,-0.515,lo
The Offspring,This Is Not Utopia,7JmbtvmRa0ujQc7HXesX5G,-0.738,lo
ZZ Top,Heartache In Blue,6FmIBpxEwPcLPO9v1fVYtt,-0.246,lo
*NSYNC,Pop,0Jc8qF1mUPo1A96HE9QxZz,0,ins
*NSYNC,Celebrity,2YHvWvFFH53lpG96eijEe9,0,ins
*NSYNC,The Two Of Us,3Djw4KjA9eO0TxrIUaGNwq,1,mo
*NSYNC,See Right Through You,0x0KmsdyPlkBlBjvpoOh9h,0,ins
*NSYNC,Selfish,78WtQgnzUKImvnUFhvIUcQ,0,ins
*NSYNC,Something Like You,2hXhC1nZ5GeEmjbQOshHSI,0,ins
*NSYNC,This I Promise You,46n2EGFnPC3tzWCN1Aqe26,0,ins
*NSYNC,No Strings Attached,6wOlzyu9hqu4Tjk0kPNv6e,0,ins
*NSYNC,Digital Get Down,0yX0Zw8ouA5lD7rbzWfowL,1,mo
*NSYNC,Bringin' Da Noise,0MxKHJEhhFOJsvYak4Q5Bu,1,mo
*NSYNC,That's When I'll Stop Loving You,3TnT4ULnE2bzJG40gUtZh6,0,ins
*NSYNC,I'll Be Good For You,7Dt3YcGl01jAdxJrIXf0T6,1,mo
*NSYNC,I Thought She Knew,0b4u7IhBY61kSmS8wVIPYg,0,ins
*NSYNC,Home for Christmas,3cNhneDghtV9yHK2KeF0Es,0,ins
*NSYNC,I Never Knew the Meaning of Christmas,60tynZB6YaV1Zt3MuodxWZ,0,ins
*NSYNC,The Christmas Song (Chestnuts Roasting on an Open Fire),7y8Wc2WQvyG05lpO0fBTtv,1,mo
*NSYNC,I Guess It's Christmas Time,0O3qXS5DEEqqOjYxGMhHjS,0,ins
*NSYNC,All I Want Is You (This Christmas),42ahZK39o2uryeHVJbjqc0,1,mo
*NSYNC,The First Noel,07iHbbigSDl7kcWjKaiM3g,0,ins
