Artist,Album,Year,Popularity,Duration,Cover,ID,Language,acousticness,danceability,energy,instrumentalness,loudness,mode,speechiness,tempo,valence,liveness
Lil Durk,Almost Healed,2023,81,56.6,https://i.scdn.co/image/ab67616d0000b2736234c2c6d4bb935839ac4719,6ciIG1XKTlVIn0Yl8rvsce,English,0.034,0.695,0.545,0.0,-8.235,0.571,0.215,135.794,0.339,0.147
Lil Durk,7220 (Deluxe),2022,63,83.5,https://i.scdn.co/image/ab67616d0000b273a6952f32937f16cc81b4abca,2rGN0kLth4hNmyMffDTlpX,English,0.057,0.666,0.592,0.0,-8.286,0.516,0.251,129.024,0.348,0.181
Lil Durk,7220 (Reloaded),2022,53,47.9,https://i.scdn.co/image/ab67616d0000b27369ed6f07008b1bb3bcf846dd,42q2L3R0LUPv3tM1Mabvyl,English,0.039,0.667,0.586,0.0,-8.338,0.611,0.312,126.762,0.364,0.172
Lil Durk,7220,2022,70,45.6,https://i.scdn.co/image/ab67616d0000b2739984d05ec46e029f7b942aca,0vRN2oePynCSTspdY9NDsM,English,0.041,0.667,0.587,0.0,-8.216,0.588,0.32,124.041,0.374,0.177
Lil Durk,The Voice (Deluxe),2021,63,72.1,https://i.scdn.co/image/ab67616d0000b27386a14ed0bbd8472d0b718ae6,6lb9q7QZwjMj9EE7M664sK,English,0.153,0.699,0.65,0.0,-7.012,0.357,0.26,124.519,0.416,0.162
Lil Durk,The Voice,2020,65,41.5,https://i.scdn.co/image/ab67616d0000b273317f63dd5214d9a5d2cb7c71,33lOYXjswrDuzTqTNJYSWy,English,0.148,0.716,0.593,0.0,-8.144,0.5,0.289,132.243,0.459,0.163
Lil Durk,Just Cause Y'all Waited 2 (Deluxe),2020,60,56.5,https://i.scdn.co/image/ab67616d0000b273fec5f282565cc61622be8e04,6SaN9NlFIy4VwdkzXc1yRM,English,0.098,0.72,0.561,0.0,-8.224,0.5,0.311,131.848,0.313,0.142
Lil Durk,Just Cause Y'all Waited 2,2020,70,39.8,https://i.scdn.co/image/ab67616d0000b273f8558e8b0ceb521977e4c5bf,3D4bwVn4Wp8Za0Amkyd5I5,English,0.119,0.737,0.605,0.0,-6.999,0.667,0.276,129.741,0.309,0.121
Lil Durk,Family Over Everything,2019,54,41.7,https://i.scdn.co/image/ab67616d0000b2738587611866a00ae5916eea3b,4T7cvmdhs8ehPlhghwStjM,English,0.059,0.758,0.492,0.0,-11.119,0.562,0.283,136.083,0.388,0.131
Lil Durk,Love Songs 4 the Streets 2,2019,61,47.6,https://i.scdn.co/image/ab67616d0000b2738c20f9fe5d480d13f980edc2,3kj9O7YYodmvzwq8ObaWU9,English,0.03,0.718,0.697,0.0,-4.921,0.5,0.227,150.902,0.329,0.15
Lil Durk,Signed To The Streets 3,2018,59,71.0,https://i.scdn.co/image/ab67616d0000b273cc252a21d0f26d9378f03ed6,7HB55Zq1RoZvtwQGm5nxhv,English,0.133,0.727,0.615,0.0,-6.442,0.368,0.252,130.594,0.347,0.151
Lil Durk,Just Cause Y'all Waited,2018,56,41.2,https://i.scdn.co/image/ab67616d0000b2731064d6e037d5fd20bf5bad70,1R8YtoBYJgC2ue7eq9Xa8d,English,0.18,0.713,0.641,0.0,-5.991,0.5,0.322,135.765,0.338,0.15
Lil Durk,Signed to the Streets 2.5,2017,51,31.1,https://i.scdn.co/image/ab67616d0000b273492582f806a7e52160b5a68b,7ur402aEploQusH5JUSZyy,English,0.042,0.661,0.651,0.0,-6.454,0.222,0.262,135.377,0.236,0.187
Lil Durk,Love Songs for the Streets,2017,37,30.2,https://i.scdn.co/image/ab67616d0000b2738d540a78272715a099242f38,0VHiA46eaOVlaI6RBwL3HK,English,0.078,0.708,0.622,0.0,-6.901,0.333,0.195,147.468,0.374,0.184
